Random waveform, supplied seed
Total number of intervals = 200 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628)
Average QPS expected = 50559
Timestamp start: 1684676027764
Timestamp end: 1684677228169

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      437.7   908.8   160.7   203.0   217.1   353.3   409.7   438.6   458.6   480.8   507.7   560.1  3545.8 11863.0 34097.6  10658.8    10652
read      488.1  1256.1   148.8   202.3   215.3   306.6   340.5   361.7   379.1   408.7   468.7   841.5  5468.8 14250.1 35647.6  97990.3    98119
read      430.8   509.7   148.8   194.3   205.7   320.9   432.1   513.0   590.1   672.1   769.8   932.4  1256.9  7298.0 22139.9  48325.0    48176
read      451.8   698.8   148.8   194.5   206.5   354.2   462.9   535.0   590.1   645.0   712.1   822.8  1302.4  9849.5 31316.3  35073.5    34929
read      408.1   403.0   148.8   193.4   204.8   293.6   360.1   420.2   483.4   601.0   782.0  1036.5  1561.1  4037.0 11640.0  69668.3    69735
read      437.0   803.4   148.8   195.0   208.0   367.8   450.4   499.6   532.1   567.7   610.0   671.3  1091.3 11176.3 31953.2  20751.7    20753
read      405.4   574.1   148.8   194.4   205.9   286.9   335.8   371.0   404.5   464.2   625.8  1024.9  2398.1  6111.8 24792.7  84714.5    84642
read      435.4   556.6   148.8   193.8   205.5   335.3   449.7   527.6   592.1   658.9   736.7   866.9  1188.2  8179.4 26861.3  42460.5    42333
read      431.4   617.2   148.8   192.4   203.7   297.0   376.8   456.2   534.3   658.5   811.4   999.8  1588.8  8707.9 28702.7  61607.3    61587
read      411.2   543.4   148.8   194.3   205.9   288.9   341.7   383.3   427.3   502.9   704.8  1063.0  2114.4  6086.5 17471.6  77950.0    77998
read      444.8   870.7   148.8   198.7   210.9   292.4   330.4   355.2   377.5   417.0   503.3  1113.7  3800.9 10231.7 31566.2  97416.3    97625
read      411.7   471.5   148.8   196.3   209.7   367.1   452.1   500.8   534.2   570.5   612.6   675.1   915.3  6019.8 25563.0  23779.2    23781
read      391.3   282.2   148.8   192.8   204.9   306.4   386.8   452.2   515.2   595.5   693.0   876.5  1270.8  1840.2  7782.2  66773.3    66723
