Random waveform, supplied seed
Total number of intervals = 150 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682)
Average QPS expected = 50033
Timestamp start: 1684933823632
Timestamp end: 1684935024134

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      414.9   674.2    68.9   117.3   133.0   281.7   397.7   483.2   590.0   700.0   824.3   981.7  1538.9  8792.3 30773.9  37351.2    37291
read      306.4   362.9    68.9   116.4   131.3   266.6   339.5   381.9   412.4   447.7   490.4   559.0   981.8  3715.6 10239.0  53911.6    53818
read      389.1   415.1    68.9   119.0   135.9   305.6   432.2   529.3   598.2   663.9   744.3   851.5  1049.8  4708.2 12319.9  30285.4    30297
read      375.3   306.7    68.9   117.4   134.2   295.7   419.4   512.0   589.2   661.8   745.7   848.3  1015.5  1613.3 10222.1  31453.6    31569
read      380.1   323.1    68.9   116.7   132.9   272.9   396.6   503.5   609.5   708.7   817.0   935.1  1126.6  1678.9 11398.7  38953.5    38927
read      328.7   233.2    74.4   140.1   167.4   314.1   366.8   395.1   415.1   437.1   466.1   522.3   679.5  3225.8  8950.3  10681.1    10652
read      291.4   241.3    63.8   120.1   135.9   256.8   324.3   364.8   394.8   430.7   475.5   548.2   737.4  2256.4  7881.5  98184.1    98119
read      382.5   364.7    63.8   118.1   133.6   260.5   363.7   457.1   587.4   731.7   883.1  1039.5  1267.2  2165.2 11886.2  48117.1    48176
read      384.5   326.7    68.9   119.2   135.7   287.8   417.4   522.4   608.7   690.0   787.5   905.8  1096.8  2658.6  9870.9  35038.5    34929
read      292.9   202.1    68.9   118.2   133.0   265.6   336.8   377.0   406.3   439.8   480.3   542.1   693.1  1626.8  7733.7  69634.2    69735
read      379.1   460.5    68.9   123.7   141.8   336.9   431.7   490.1   541.2   592.8   648.8   731.1   918.1  4732.6 30407.5  20867.1    20753
read      299.6   337.6    68.9   122.2   137.7   261.3   332.5   372.7   402.4   437.2   479.2   543.7   744.7  3159.0 12175.7  84577.5    84642
read      420.3   476.8    68.9   122.8   139.3   288.0   402.7   507.5   637.1   786.8   937.4  1093.9  1385.9  4859.1 16327.0  42391.0    42333
read      308.5   317.4    68.9   118.2   133.6   271.5   345.1   387.0   417.0   451.3   493.1   560.8   889.2  3349.9 12518.1  61613.4    61587
read      301.9   248.8    68.9   120.0   135.9   268.2   341.6   383.8   414.2   449.6   493.3   564.1   763.0  2273.4  9252.4  78178.5    77998
read      292.5   269.4    68.9   119.0   134.6   257.2   325.2   366.5   397.1   433.3   478.1   547.9   735.9  2638.7  8223.3  97737.6    97625
read      412.9   445.1    74.4   125.5   143.7   340.8   467.9   567.0   621.2   675.4   740.9   839.0  1083.0  4737.3 20434.0  23800.9    23781
read      311.1   325.2    68.9   119.5   135.3   271.0   345.8   388.9   420.2   456.4   501.0   576.4   914.6  3209.9  9012.5  66775.5    66723
read      421.2   536.7    68.9   123.1   140.5   309.7   440.6   556.4   644.8   738.3   838.0   961.3  1255.8  5797.6 30140.0  30951.8    31016
read      328.9   344.0    68.9   118.7   134.5   279.2   356.9   402.0   435.3   472.7   529.3   645.6  1193.4  3559.1 11745.1  47415.9    47394
read      295.6   237.5    68.9   119.7   135.5   260.4   329.9   370.9   401.2   437.2   482.7   553.6   740.6  2651.5  7703.6  95215.2    95335
read      374.6  1029.1    86.8   163.4   189.2   292.9   333.9   356.5   372.5   394.6   424.4   481.0  2749.2 12089.1 37888.3   5256.1     5252
read      296.1   273.7    68.9   116.5   131.7   263.2   334.2   374.5   403.7   437.4   477.0   540.4   746.3  2736.7 10386.6  65752.8    65908
read      408.9   774.3    74.4   124.3   142.8   341.7   431.1   482.1   526.6   577.8   630.3   710.1  1384.3 11620.0 31749.5  17015.5    16889
read      353.2   527.0    68.9   116.4   131.6   267.7   357.1   413.4   454.9   507.6   622.6   876.7  1242.0  6528.1 21919.8  42993.1    42912
read      301.6   333.9    68.9   120.1   136.2   258.8   327.9   369.1   399.9   436.4   484.6   561.7   798.4  3758.9 12037.4  99986.5    99898
read      422.8   742.2    68.9   119.7   136.9   321.0   449.6   548.2   608.4   667.5   737.7   841.6  1454.8  8523.9 31813.2  26375.0    26385
read      403.0   595.6    68.9   120.9   138.5   334.3   442.8   515.7   572.2   623.1   679.2   765.2  1157.9  8023.8 29196.3  22574.1    22616
read      384.5   347.5    68.9   117.9   133.6   261.2   362.2   450.6   570.5   729.6   905.4  1073.7  1315.0  2095.3  8124.5  50698.8    50605
read      282.0   221.9    68.9   116.3   131.5   249.7   317.5   356.6   384.9   417.9   458.2   517.2   689.3  2174.9  7852.6  90285.1    90283
read      383.3   480.0    68.9   119.7   137.2   318.3   429.0   501.4   563.8   621.9   686.9   787.6   989.2  5355.8 28172.6  26207.5    26273
read      383.5   560.8    68.9   115.3   130.9   261.8   357.4   431.4   496.9   629.6   827.7  1031.2  1412.2  6108.7 27235.1  48607.1    48521
read      416.0   685.6    68.9   117.1   133.2   293.7   433.6   553.2   627.7   701.9   788.3   905.9  1269.9 10068.9 31435.3  34125.1    34058
read      322.8   387.9    68.9   117.8   133.1   261.7   335.1   379.4   413.7   454.7   509.1   635.7  1435.3  4506.1 10851.5  75576.5    75648
read      368.7   502.5    68.9   122.3   140.7   331.0   414.3   461.5   498.5   549.1   605.2   679.5   860.2  6163.1 28759.1  19436.4    19482
read      343.8   278.0    74.4   128.6   149.1   326.2   392.9   428.1   452.3   480.7   526.7   604.2   767.4  3544.9 10943.6  15132.5    15054
read      310.1   388.9    68.9   119.7   135.2   268.8   341.6   384.1   414.5   450.2   495.2   572.3   870.4  3851.2 12781.0  75687.8    75754
read      413.4  1426.9    74.4   162.2   188.3   286.1   322.7   343.6   360.1   378.9   403.7   459.9  3470.0 30600.8 33600.8   5215.6     5187
read      371.0   291.7    68.9   130.1   152.7   340.2   424.0   470.1   503.9   555.5   617.5   700.1   860.7  1958.6 10914.3  17703.4    17656
read      273.5   191.7    68.9   114.7   129.6   245.7   310.6   347.1   373.9   404.9   444.0   500.0   639.0  1715.4  7883.8  96411.4    96343
read      291.4   267.0    63.8   114.8   130.2   266.4   339.5   379.3   405.6   434.4   466.6   512.3   653.0  1697.4  8100.7  36752.4    36665
read      276.6   190.4    68.9   115.2   130.4   251.8   318.4   356.1   382.9   414.0   451.5   502.8   620.9  1433.2  8074.9  85165.9    85269
read      285.6   172.3    63.8   115.2   130.8   264.6   338.0   376.1   400.7   426.9   456.4   497.3   614.7  1301.6  6423.4  31447.0    31525
read      284.8   196.1    63.8   114.7   129.9   261.4   330.0   368.8   396.7   428.6   465.7   520.6   641.6  1145.7  8113.8  61827.5    61798
read      297.7   224.0    74.4   137.9   158.9   293.5   335.4   357.5   372.5   391.1   414.1   453.6   564.3  1766.3 11200.2  12320.9    12253
read      301.3   251.3    68.9   120.5   138.8   281.5   350.2   385.6   408.5   433.2   461.9   504.7   659.4  2285.9 11171.2  25696.9    25710
read      283.9   187.9    68.9   116.4   131.9   258.6   326.7   365.5   393.4   426.0   464.1   519.5   656.9  1347.9  6992.0  79968.6    79937
read      295.8   434.3    80.4   155.1   180.8   279.7   309.8   326.2   338.5   352.8   371.6   403.6   505.0  5277.1 30183.0   7288.5     7271
read      284.2   195.1    63.8   116.8   132.4   257.3   326.2   365.2   393.0   425.4   464.4   524.7   674.8  1382.6  7818.2  85629.1    85861
read      280.8   201.0    68.9   115.9   131.4   253.4   320.7   359.4   387.1   419.4   459.0   517.0   657.1  1410.3  8089.7  91435.2    91467
read      289.2   186.6    68.9   119.5   135.4   264.1   333.7   372.5   400.6   433.1   470.9   528.0   662.7  1543.8  6600.7  72098.0    72217
read      291.7   198.7    63.8   116.8   132.8   270.7   343.8   381.7   406.1   433.0   463.6   507.2   638.8  1261.2  8473.1  31088.6    31080
read      279.1   173.7    68.9   115.6   130.9   254.9   321.7   359.8   387.0   418.5   455.7   505.7   627.1  1497.0  5098.0  76761.1    76878
read      279.0   189.3    63.8   115.4   130.8   252.8   319.9   358.1   385.9   418.2   457.2   509.7   639.1  1508.2  7541.4  84692.6    84584
read      294.5   221.5    68.9   133.6   155.0   290.9   334.3   356.4   371.7   390.1   411.7   445.4   537.8  2418.0  8657.2  12555.5    12492
read      301.7   213.0    68.9   118.9   135.5   279.5   349.0   388.5   416.5   448.4   486.2   544.3   696.0  1496.7  7935.1  57171.8    57106
read      278.2   198.6    68.9   115.8   131.1   249.9   315.9   354.7   383.4   416.9   458.4   518.5   654.0  1328.0  6814.6  96451.1    96245
read      289.4   316.0    86.8   158.1   183.1   277.2   307.2   322.5   335.2   348.3   367.8   397.9   483.6  4368.8 15827.3   6837.5     6791
read      279.6   194.1    68.9   116.3   131.7   254.0   320.4   359.2   386.7   418.8   457.8   512.1   639.2  1126.1  6822.8  90630.6    90728
read      286.5   382.2    80.4   165.1   189.6   267.3   293.1   308.0   318.1   332.3   349.6   382.9   494.3  5450.6 17989.7   5135.2     5151
read      285.1   183.6    63.8   117.3   132.9   260.0   328.4   367.1   394.9   427.0   464.8   519.4   646.6  1618.6  5962.0  82847.9    82969
read      291.8   203.8    68.9   115.4   131.1   269.9   340.2   380.6   408.4   438.5   471.5   520.3   643.7  1338.0  7986.0  42539.8    42635
read      272.2   171.2    63.8   114.3   129.4   245.2   310.8   348.6   376.3   408.5   448.2   503.3   630.3  1271.2  6348.0  99203.6    99337
read      276.5   190.8    63.8   114.7   129.9   249.2   316.4   354.9   382.5   414.3   454.1   509.1   641.6  1308.8  7650.3  95100.9    95192
read      280.5   178.6    63.8   114.2   129.5   258.3   324.4   362.2   389.1   419.6   455.8   504.6   631.2  1476.6  6439.6  69198.9    69200
read      286.2   213.3    63.8   114.2   129.5   263.0   331.2   371.1   399.0   430.0   464.7   513.1   642.6  1420.0  7602.6  49460.6    49459
read      285.9   193.4    68.9   115.8   131.9   265.8   339.2   376.7   399.8   424.9   453.9   494.5   605.0  1262.5  6963.4  29067.8    29055
read      282.0   195.3    63.8   114.1   129.3   258.9   325.7   363.5   390.6   421.8   458.8   508.3   638.3  1443.2  7980.8  64194.8    64324
read      285.0   376.3    74.4   159.3   183.6   265.6   292.5   307.8   318.2   333.0   351.5   384.7   482.2  5550.4 13746.7   5734.5     5705
read      279.8   188.0    63.8   116.0   131.3   255.0   321.4   359.5   386.8   418.1   456.1   507.8   635.5  1509.5  6891.6  84794.9    84816
read      293.1   243.2    68.9   120.4   137.3   277.0   346.7   378.7   399.6   422.8   450.0   489.8   617.4  1625.5  8865.7  23615.9    23714
read      286.0   193.1    68.9   116.0   131.5   260.4   329.1   368.1   395.9   428.3   466.9   525.3   674.2  1433.2  7671.4  74117.5    74116
read      290.4   204.1    68.9   122.7   140.4   281.8   344.6   372.8   391.6   412.4   436.7   474.0   576.2  1426.0  7705.6  20041.6    19948
read      288.9   193.4    63.8   114.5   130.0   265.3   336.0   375.6   403.4   433.4   466.7   514.3   657.8  1422.4  6724.2  44275.1    44213
read      286.8   200.5    68.9   122.1   139.4   279.2   340.7   368.2   386.2   404.7   429.0   463.9   547.5  2366.7  7252.3  19407.2    19454
read      285.1   284.4    74.4   154.1   179.0   273.9   304.0   319.1   331.3   344.4   364.3   395.4   501.2  4084.4 15564.4   7196.0     7190
read      308.0   196.8    74.4   122.5   140.2   289.9   357.6   395.4   421.8   450.9   485.7   538.9   677.6  1503.0  7914.3  47609.1    47657
read      308.9   221.6    68.9   121.0   138.6   288.2   357.7   396.3   423.9   454.5   490.3   545.8   694.5  1468.4  9574.5  44333.2    44399
read      292.3   482.0    86.8   156.2   180.7   272.5   301.7   317.5   329.4   342.5   362.1   393.9   493.9  5994.0 24675.9   6494.0     6481
read      276.3   301.1    74.4   156.1   180.0   263.5   290.1   304.6   315.0   327.8   344.5   373.3   462.0  4139.2 11492.4   5792.6     5807
read      282.8   184.4    68.9   117.1   132.8   258.7   324.6   362.5   389.7   421.0   459.3   513.6   649.5  1482.1  7575.0  83073.6    83137
read      287.4   240.3    74.4   138.7   161.1   281.0   316.9   336.2   349.2   365.7   387.0   423.4   534.6  2377.5  8569.5   9619.2     9580
read      310.9   200.5    68.9   122.5   140.8   292.8   360.1   397.1   423.5   452.9   487.7   543.2   702.7  1675.1  7871.6  37343.0    37385
read      306.4   213.0    68.9   120.2   138.4   290.4   356.7   393.2   418.1   445.7   478.4   528.1   668.0  1371.4  8714.4  33811.8    33706
read      304.4   203.6    63.8   118.7   136.3   288.3   354.6   391.3   416.1   443.3   474.3   525.2   668.6  1542.1  7826.4  35233.8    35204
read      311.0   209.4    68.9   120.1   137.7   290.5   360.8   399.5   427.1   458.4   496.8   562.3   740.9  1469.7  7780.9  50435.6    50438
read      298.6   191.3    63.8   116.5   133.1   281.2   347.5   385.4   411.4   440.7   474.8   529.1   675.9  1480.5  6274.5  48900.2    48878
read      294.7   214.7    63.8   114.9   131.2   276.9   343.1   380.2   405.3   433.7   466.8   513.4   646.9  1597.5  9010.4  42652.2    42682

Total QPS = 50039.3 (60047192 / 1200.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 14831655930 bytes :   11.8 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.95%,47.45%,100.00%
